name,key_skills,salary_from,salary_to,salary_currency,area_name,published_at
"Backend разработчик (php,yii)",,,,,Пермь,2014-12-03T07:06:47+0300
"Программист Python, CMS системs на django",,20000.0,40000.0,RUR,Ставрополь,2014-03-26T15:15:19+0400
Разработчик программного обеспечения/backend developer,,80000.0,,RUR,Санкт-Петербург,2014-08-14T08:29:56+0400
Программист php (yii),,800.0,1200.0,USD,Киев,2014-05-22T11:44:31+0400
Веб-разработчик (backend & frontend),,4000.0,12000.0,UAH,Донецк (Украина),2014-04-01T10:43:37+0400
Веб-разработчик (backend & frontend),,4000.0,12000.0,UAH,Киев,2014-04-01T10:43:37+0400
Веб-разработчик (backend & frontend),,4000.0,12000.0,UAH,Луганск,2014-04-01T10:43:37+0400
Веб-разработчик (backend & frontend),,4000.0,12000.0,UAH,Харьков,2014-04-01T10:43:37+0400
Web Services - разработчик (backend),,,,,Москва,2014-03-29T10:41:29+0400
Разработчик ASP.NET MVC (backend),,40000.0,70000.0,RUR,Санкт-Петербург,2014-09-09T18:04:47+0400
Web-разработчик python/django,,40000.0,70000.0,RUR,Санкт-Петербург,2014-11-26T20:13:20+0300
"Web-разработчик (frontend, backend)",,,,,Киев,2014-04-04T14:35:27+0400
Разработчик python backend,,,,,Москва,2014-06-30T16:47:31+0400
PHP-разработчик (backend разработчик),,80000.0,120000.0,RUR,Москва,2014-10-28T13:10:13+0300
Разработчик на PHP (backend),,30000.0,60000.0,RUR,Санкт-Петербург,2014-01-14T15:34:08+0400
Javascript backend Developer (Node.js),,,120000.0,RUR,Москва,2014-04-17T08:54:54+0400
Php-программист (backend),,30000.0,50000.0,RUR,Нижний Новгород,2014-10-14T12:48:46+0400
Разработчик python backend для web,,110000.0,150000.0,RUR,Москва,2014-11-12T16:51:16+0300
Ruby on Rails backend разработчик,,120000.0,,RUR,Москва,2014-11-19T17:30:14+0300
PHP программист (backend),,90000.0,,RUR,Москва,2014-12-02T01:45:46+0300
